date,close,volume,amount
2017-01-03,34.6600,15534740,537407600.0000
2017-01-04,35.9000,46053667,1637950784.0000
2017-01-05,35.9300,25815923,927811504.0000
2017-01-06,36.1000,33652039,1220341984.0000
2017-01-09,36.4500,26692245,974179040.0000
2017-01-10,36.5000,22885904,840655872.0000
2017-01-11,35.8600,22294346,802004096.0000
2017-01-12,35.6000,15825878,564764864.0000
2017-01-13,35.6900,15631495,557529856.0000
2017-01-16,35.4500,19198129,679701408.0000
2017-01-17,35.7600,17756018,635715024.0000
2017-01-18,36.9500,44741831,1642819008.0000
2017-01-19,36.8500,19015209,699761872.0000
2017-01-20,36.9100,16535872,608985856.0000
2017-01-23,37.3800,39390729,1481709280.0000
2017-01-24,37.4200,19021290,711031408.0000
2017-01-25,37.2700,18676334,696743616.0000
2017-01-26,37.0000,14243808,529488016.0000
2017-02-03,36.4100,14552029,533432448.0000
2017-02-06,36.4500,13931545,509472928.0000
2017-02-07,36.4500,12108227,442424464.0000
2017-02-08,37.0900,19983088,737094272.0000
2017-02-09,37.3400,22521013,845962352.0000
2017-02-10,37.8300,28284154,1071008768.0000
2017-02-13,38.5800,39356687,1521216048.0000
2017-02-14,38.6600,16832098,650070240.0000
2017-02-15,38.4000,14712002,567692944.0000
2017-02-16,38.4600,12140073,466093472.0000
2017-02-17,38.9500,24153708,944939376.0000
2017-02-20,41.4000,47690952,1928243168.0000
2017-02-21,40.8600,24245020,990510352.0000
2017-02-22,41.2800,29154767,1200108160.0000
2017-02-23,40.4800,21183618,867247808.0000
2017-02-24,40.2900,16424697,658625168.0000
2017-02-27,39.3900,21824501,865270112.0000
2017-02-28,39.5600,12119871,479096768.0000
2017-03-01,39.9800,17462272,698692368.0000
2017-03-02,39.9600,11794003,471215072.0000
2017-03-03,39.9900,14442974,575641088.0000
2017-03-06,40.5500,25414126,1021344432.0000
2017-03-07,41.6500,29548334,1223950992.0000
2017-03-08,41.1200,14142243,583027616.0000
2017-03-09,40.6700,15050345,611016528.0000
2017-03-10,40.6600,19700636,809491056.0000
2017-03-13,41.6500,28798339,1193460528.0000
2017-03-14,41.3800,14474419,599761216.0000
2017-03-15,41.5400,12508655,520984512.0000
2017-03-16,41.0400,38411034,1582220992.0000
2017-03-17,40.7600,20112247,826003824.0000
2017-03-20,41.0900,17475558,714047424.0000
2017-03-21,43.3800,69607524,2965555520.0000
2017-03-22,43.9600,38144701,1657889536.0000
2017-03-23,43.5600,22565460,981649104.0000
2017-03-24,43.2400,27192730,1189363312.0000
2017-03-27,42.5500,26857955,1145045680.0000
2017-03-28,42.7700,16534690,702047888.0000
2017-03-29,43.1000,22193805,958273552.0000
2017-03-30,42.7300,20190945,863705792.0000
2017-03-31,43.0000,21676956,922910208.0000
2017-04-05,43.1200,24151169,1045988816.0000
2017-04-06,42.9500,16809411,719573184.0000
2017-04-07,42.6900,13812967,591485232.0000
2017-04-10,41.6600,26067613,1089896096.0000
2017-04-11,40.9500,32670966,1330882720.0000
2017-04-12,42.0500,31026351,1293259392.0000
2017-04-13,42.8100,20772770,884497040.0000
2017-04-14,42.3500,15750860,668378384.0000
2017-04-17,42.9600,20397529,876210032.0000
2017-04-18,43.8800,30494053,1341270944.0000
2017-04-19,44.0000,21411693,946000256.0000
2017-04-20,45.6500,35490588,1606555760.0000
2017-04-21,45.6500,24663720,1123511808.0000
2017-04-24,44.3100,20766359,927467920.0000
2017-04-25,46.6000,34054132,1559251120.0000
2017-04-26,45.7000,37061654,1730845440.0000
2017-04-27,46.0000,18762562,855252048.0000
2017-04-28,45.5000,34678260,1564756128.0000
2017-05-02,44.6000,20882591,931011024.0000
2017-05-03,44.9200,15116828,678377712.0000
2017-05-04,44.3800,13934135,620702768.0000
2017-05-05,44.1600,20494350,907381536.0000
2017-05-08,42.6200,24311886,1051463504.0000
2017-05-09,43.6700,24781465,1059664448.0000
2017-05-10,43.4900,17560711,771388256.0000
2017-05-11,44.3300,18203050,801570640.0000
2017-05-12,44.2500,19609509,857684480.0000
2017-05-15,45.1800,19195201,864066336.0000
2017-05-16,47.6000,41133154,1921926704.0000
2017-05-17,46.3600,23139738,1085062000.0000
2017-05-18,46.5000,16015098,749478832.0000
2017-05-19,47.0800,15786409,741788832.0000
2017-05-22,47.1300,14387799,676005984.0000
2017-05-23,48.2600,27114211,1306270912.0000
2017-05-24,47.9500,23805410,1135073568.0000
2017-05-25,47.7300,15637031,745554304.0000
2017-05-26,47.5600,19259404,915014608.0000
2017-05-31,47.8800,21149466,995050752.0000
2017-06-01,48.3400,19566050,940552880.0000
2017-06-02,47.9600,16731047,803138176.0000
2017-06-05,47.0900,17161751,815019856.0000
2017-06-06,48.5100,18703696,894954704.0000
2017-06-07,50.9000,36078651,1808407552.0000
2017-06-08,51.4000,30019781,1551306752.0000
2017-06-09,52.1700,22421062,1168904576.0000
2017-06-12,54.8300,39041905,2117491120.0000
2017-06-13,54.6900,25482824,1379771824.0000
2017-06-14,53.7000,30678796,1654983376.0000
2017-06-15,52.2100,39471071,2070609984.0000
2017-06-16,52.0200,24033423,1257006032.0000
2017-06-19,52.5700,37036876,1944706368.0000
2017-06-20,52.2000,34893202,1821526656.0000
2017-06-21,54.6100,45263456,2391227504.0000
2017-06-22,54.1500,46808450,2552510960.0000
2017-06-23,55.0000,35085488,1911711344.0000
2017-06-26,56.7400,37038461,2089209008.0000
2017-06-27,57.1600,31307389,1771439280.0000
2017-06-28,55.6400,27582268,1548727184.0000
2017-06-29,55.4200,25571255,1412990960.0000
2017-06-30,55.6600,20075326,1116508448.0000
2017-07-03,54.0300,33166228,1801733696.0000
2017-07-04,52.5500,39001962,2053979952.0000
2017-07-05,53.4200,30327331,1610599792.0000
2017-07-06,52.9900,31370657,1652540272.0000
2017-07-07,51.8000,30890584,1602293280.0000
2017-07-10,52.7900,40733979,2112491488.0000
2017-07-11,53.6900,34226179,1836879536.0000
2017-07-12,52.1800,27722977,1463246496.0000
2017-07-13,52.1800,23843309,1247064512.0000
2017-07-14,52.5400,20202809,1053780928.0000
2017-07-17,51.5100,29468000,1522315232.0000
2017-07-18,52.5900,23913165,1241870976.0000
2017-07-19,53.7100,29949235,1606216272.0000
2017-07-20,54.8100,28370871,1543500736.0000
2017-07-21,54.7100,24618552,1356818608.0000
2017-07-24,55.9100,27426965,1538206928.0000
2017-07-25,55.3600,16795869,937380816.0000
2017-07-26,54.0100,23526651,1278858208.0000
2017-07-27,53.7500,20862244,1119273072.0000
2017-07-28,55.7300,33678614,1853866704.0000
2017-07-31,55.7600,42299998,2389011776.0000
2017-08-01,56.5800,22920903,1280407952.0000
2017-08-02,55.7100,18480330,1033391152.0000
2017-08-03,54.5000,26313309,1435945792.0000
2017-08-04,54.0900,19489802,1058514384.0000
2017-08-07,56.0000,27072133,1486094208.0000
2017-08-08,55.8100,16623396,928832800.0000
2017-08-09,56.6400,41440425,2363696496.0000
2017-08-10,57.6000,41624727,2411510928.0000
2017-08-11,56.0000,28591698,1621909264.0000
2017-08-14,57.3800,30578175,1744486768.0000
2017-08-15,57.5000,17083084,982197088.0000
2017-08-16,56.8500,17247809,978751024.0000
2017-08-17,55.8100,23442083,1310465296.0000
2017-08-18,55.8100,12938447,721783200.0000
2017-08-21,55.5100,17854200,988854256.0000
2017-08-22,54.0800,39643883,2137185344.0000
2017-08-23,54.7900,21013867,1142768128.0000
2017-08-24,54.0600,15314069,831710784.0000
2017-08-25,54.1000,23102937,1246281024.0000
2017-08-28,55.4300,43888728,2443203584.0000
2017-08-29,55.1900,23125750,1280576592.0000
2017-08-30,56.2500,26056361,1456970288.0000
2017-08-31,55.4900,19022089,1058224256.0000
2017-09-01,55.5000,17744894,984771104.0000
2017-09-04,54.2100,29862143,1626579376.0000
2017-09-05,54.2700,15102485,821048720.0000
2017-09-06,53.8300,18834495,1017715808.0000
2017-09-07,53.1500,22573441,1199532208.0000
2017-09-08,51.8500,34400992,1791448832.0000
2017-09-11,52.8700,40671465,2115022848.0000
2017-09-12,53.6000,24861153,1326135364.9500
2017-09-13,54.9600,36445778,1994782765.7300
2017-09-14,54.8000,21513204,1182285369.0300
2017-09-15,54.9300,19711872,1087867330.4200
2017-09-18,56.4200,28720032,1615316019.5800
2017-09-19,56.4700,22188037,1257913122.7000
2017-09-20,56.5200,18529984,1053741519.6800
2017-09-21,55.7200,16426705,916675909.3500
2017-09-22,56.0800,14385003,805162848.0800
2017-09-25,57.4200,24614433,1405390390.4900
2017-09-26,56.8900,14299463,813898614.4400
2017-09-27,56.7000,15862601,896422632.1500
2017-09-28,57.4500,29043719,1670672617.7700
2017-09-29,57.2800,21716197,1253717250.2500
2017-10-09,58.5400,21684904,1268405187.0300
2017-10-10,59.1800,21535488,1266543955.2200
2017-10-11,61.1800,31321043,1902171753.1200
2017-10-12,60.8100,17600466,1073412431.3500
2017-10-13,61.6200,16202388,995669000.1500
2017-10-16,59.6500,27003278,1635212067.8500
2017-10-17,60.1000,14629264,874178783.7000
2017-10-18,61.3500,17653550,1062478441.8500
2017-10-19,63.0000,27871861,1744925529.2300
2017-10-20,62.5100,15181979,944325935.6400
2017-10-23,62.6000,13649799,852603486.1100
2017-10-24,63.5900,24862604,1565469643.4300
2017-10-25,63.0200,15740970,992966250.4500
2017-10-26,65.0600,41403157,2719287566.9800
2017-10-27,67.9900,42370988,2810914635.7800
2017-10-30,67.0000,33666677,2253930547.7300
2017-10-31,66.6200,20553558,1359946393.5300
2017-11-01,67.0200,21530441,1451488588.6100
2017-11-02,67.6200,26806185,1806405545.1300
2017-11-03,68.3300,24052556,1646990653.0800
2017-11-06,70.1500,24885613,1729483360.0000
2017-11-07,71.0000,30055123,2142109700.2500
2017-11-08,70.4700,24631356,1753224798.2100
2017-11-09,71.1500,24410575,1708667357.7700
2017-11-10,74.6000,31606294,2308173163.2500
2017-11-13,74.4400,25587296,1900429833.6700
2017-11-14,72.1900,29481615,2149759055.1300
2017-11-15,74.8000,33050579,2431549950.1700
2017-11-16,76.2000,34445747,2623626479.0900
2017-11-17,74.8600,47033596,3470762410.2800
2017-11-20,72.9300,32310208,2340210119.0800
2017-11-21,73.9500,30819765,2260040646.4300
2017-11-22,71.9000,39523966,2893486158.9900
2017-11-23,67.5700,48586164,3355596069.4700
2017-11-24,68.4600,46733707,3112090306.7500
2017-11-27,67.5900,28097804,1894106970.5500
2017-11-28,68.6800,24691262,1695244302.7900
2017-11-29,66.2200,25854241,1729488491.0000
2017-11-30,65.6000,21744143,1434527244.0100
2017-12-01,65.3000,21172961,1391760655.2500
2017-12-04,67.9500,40686245,2731108233.4700
2017-12-05,68.3200,34202592,2347062277.6600
2017-12-06,68.3200,23902258,1632767000.8200
2017-12-07,65.9600,23199000,1552376752.8700
2017-12-08,67.9000,25699212,1724479607.6800
2017-12-11,71.9000,47997786,3394742894.6200
2017-12-12,71.8600,27824509,2006321820.5100
2017-12-13,74.1500,29951504,2187299101.1300
2017-12-14,74.6900,20967313,1557985222.6900
2017-12-15,72.9500,23098142,1707969810.7500
2017-12-18,77.0800,50553294,3859030907.9900
2017-12-19,78.4200,37955663,2975094453.5200
2017-12-20,81.6000,34102959,2747943741.0700
2017-12-21,82.1500,37939547,3094053165.3000
2017-12-22,80.5800,35180174,2841150644.7000
2017-12-25,80.5600,35763142,2855501619.6700
2017-12-26,79.4700,23816621,1891876217.8400
2017-12-27,77.9000,26333042,2072640193.2000
2017-12-28,80.8600,52670572,4229394767.8800
2017-12-29,79.8800,42744727,3411580328.0700
2018-01-02,80.5800,31525233,2515564441.9700
2018-01-03,80.9000,28461426,2303523783.8500
2018-01-04,82.9900,36057706,2979263417.8400
2018-01-05,82.6800,23195809,1913069874.1700
2018-01-08,82.2000,28681834,2367460141.7700
2018-01-09,86.1000,38836460,3297220843.5000
2018-01-10,88.9000,34245866,2978674635.8100
2018-01-11,87.9600,25477862,2249762450.1200
2018-01-12,91.3700,32092356,2870276321.0900
2018-01-15,91.7500,37964408,3482483788.0600
2018-01-16,90.8200,36615522,3335555956.4400
2018-01-17,86.0100,49610896,4346534429.9400
2018-01-18,86.4000,42970090,3712081698.1300
2018-01-19,85.1700,38200365,3259552587.2400
2018-01-22,90.4200,44582353,3918907687.4700
2018-01-23,89.7100,38468166,3439974330.3200
2018-01-24,87.3500,34969575,3063373440.4500
2018-01-25,86.0000,42112892,3604252895.6200
2018-01-26,86.8400,31205375,2700119273.4800
2018-01-29,82.0800,59138327,4943911228.1800
2018-01-30,81.4000,37462177,3052119414.1200
2018-01-31,84.3800,41788143,3505918466.7700
2018-02-01,82.9800,44568953,3673372380.6800
2018-02-02,82.2800,34858228,2863027755.1500
2018-02-05,77.8700,71330226,5572736828.7800
2018-02-06,76.4400,54196919,4133274384.7400
2018-02-07,71.0200,70381493,5213875293.3300
2018-02-08,72.0200,54490699,3947815137.9800
2018-02-09,71.2000,58892094,4118273897.7900
2018-02-12,74.4000,44602248,3294954327.3300
2018-02-13,75.1000,28384041,2154585818.6500
2018-02-14,76.6000,20804303,1574485186.4300
2018-02-22,80.1000,29097829,2293498101.0100
2018-02-23,79.6400,18911704,1508538665.2600
2018-02-26,78.5200,32026964,2511465945.1800
2018-02-27,76.1000,29074902,2243446084.4500
2018-02-28,74.2800,33010190,2444849428.2400
2018-03-01,74.3200,25464928,1898957362.6800
2018-03-02,73.4200,24660697,1813429720.1000
2018-03-05,72.0900,21115132,1534679284.8700
2018-03-06,73.2400,40694235,2914565018.5300
2018-03-07,73.2800,28376080,2102488980.1800
2018-03-08,76.9000,39520411,2984000307.4400
2018-03-09,77.1000,24552854,1894214324.9800
2018-03-12,76.1500,24233436,1848556888.6600
2018-03-13,74.6100,23113760,1744599434.1100
2018-03-14,75.5500,24022456,1789564265.2100
2018-03-15,78.0000,37340376,2897589116.1200
2018-03-16,76.8700,20518937,1593762700.5600
2018-03-19,77.7100,21019573,1624137665.1100
2018-03-20,75.6500,23932435,1808025014.7400
2018-03-21,74.5200,24310066,1827536926.5100
2018-03-22,72.1300,32849545,2389981815.5600
2018-03-23,71.3700,32138345,2262435107.3100
2018-03-26,69.9900,27866806,1950578700.2200
2018-03-27,68.4700,54114758,3725130510.6800
2018-03-28,64.7400,66248850,4362252821.6700
2018-03-29,67.5000,52291220,3444044172.1400
2018-03-30,66.3600,31431119,2098175069.3200
2018-04-02,66.4300,33105740,2200519197.3900
2018-04-03,67.1200,39623208,2653203066.9100
2018-04-04,69.9000,50076876,3482435492.9900
2018-04-09,69.7500,24102141,1678408756.9800
2018-04-10,70.3800,20743086,1447802101.4600
2018-04-11,70.3100,24083870,1704348557.0500
2018-04-12,69.2000,20716396,1442430066.2500
2018-04-13,67.9800,23659999,1625272506.4600
2018-04-16,67.9700,22397760,1522825990.7300
2018-04-17,67.0000,20055726,1363917820.4700
2018-04-18,66.3300,23950533,1589663456.8300
2018-04-19,70.3700,37086767,2556716433.5300
2018-04-20,69.6300,30706027,2154424575.9700
2018-04-23,69.6900,21469676,1492450926.6300
2018-04-24,72.4300,36973742,2660105985.5400
2018-04-25,72.3400,17474827,1262337931.2300
2018-04-26,69.1000,28351699,1975528198.9700
2018-04-27,67.9800,23621586,1607040276.0800
2018-05-02,71.2200,34830625,2442217861.8200
2018-05-03,73.8000,31984117,2323274726.0800
2018-05-04,72.9000,19882975,1455358587.9000
2018-05-07,76.0000,34444873,2594926610.9500
2018-05-08,76.0400,28532017,2172832592.8100
2018-05-09,76.2500,20926220,1578934106.2900
2018-05-10,77.9800,28304427,2198742268.5500
2018-05-11,77.0600,22238963,1735583565.7000
2018-05-14,78.3200,22892925,1786981011.2700
2018-05-15,79.3800,23369601,1833390827.9600
2018-05-16,79.1700,26135149,2081238266.8700
2018-05-17,77.0700,26873152,2084934603.5500
