date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2019-06-18,sh.000858,5727.9720,5778.2140,5685.6220,5714.0130,5728.8300,1135404208,12303089408.0000,3,1.464537,1,-0.258600,0
2019-06-19,sh.000858,5896.7980,5927.0160,5838.1250,5839.0500,5714.0130,1876621600,22984593920.0000,3,2.420620,1,2.188200,0
2019-06-20,sh.000858,5821.9190,5987.1270,5785.8410,5935.5710,5839.0500,1887982000,21915530240.0000,3,2.435273,1,1.653000,0
2019-06-21,sh.000858,5988.3340,6114.8250,5988.3340,6081.6680,5935.5710,2252395200,26664941312.0000,3,2.905323,1,2.461400,0
2019-06-24,sh.000858,6110.7170,6150.2400,6030.3250,6068.2950,6081.6680,1677773104,19660305408.0000,3,2.164219,1,-0.219900,0
2019-06-25,sh.000858,6066.6640,6067.7690,5902.3230,5978.0020,6068.2950,1623803696,18928314624.0000,3,2.094602,1,-1.487900,0
2019-06-26,sh.000858,5938.7290,6038.0990,5920.4940,5988.7800,5978.0020,1161722208,14855469312.0000,3,1.493824,1,0.180300,0
2019-06-27,sh.000858,6035.0470,6153.3260,6035.0470,6121.7740,5988.7800,1553104496,20791404544.0000,3,1.996397,1,2.220700,0
2019-06-28,sh.000858,6119.3810,6119.3810,5995.9060,6036.2690,6121.7740,1563027104,19859786752.0000,3,2.009152,1,-1.396700,0
2019-07-01,sh.000858,6211.0260,6324.8510,6165.5130,6324.6760,6036.2690,2698936704,34761589248.0000,3,3.460734,1,4.777900,0
2019-07-02,sh.000858,6306.9230,6324.3000,6211.9190,6240.5800,6324.6760,2256868800,25872379136.0000,3,2.854419,1,-1.329600,0
2019-07-03,sh.000858,6218.4000,6219.9090,6109.5290,6144.1700,6240.5800,1791300000,20039209472.0000,3,2.265582,1,-1.544900,0
2019-07-04,sh.000858,6147.9370,6169.7520,6057.9950,6094.0110,6144.1700,1485771600,15821463040.0000,3,1.879159,1,-0.816400,0
2019-07-05,sh.000858,6095.1020,6145.3900,6082.9290,6127.6340,6094.0110,1180411600,13556401920.0000,3,1.492949,1,0.551700,0
2019-07-08,sh.000858,6102.9270,6103.1590,5826.7530,5862.0960,6127.6340,1701312496,19625617664.0000,3,2.151769,1,-4.333400,0
2019-07-09,sh.000858,5856.2500,5893.7150,5784.8580,5851.2950,5862.0960,1085533808,12365628672.0000,3,1.372950,1,-0.184300,0
2019-07-10,sh.000858,5874.0500,5883.0910,5793.3830,5822.4020,5851.2950,1133446000,12177086464.0000,3,1.433548,1,-0.493800,0
2019-07-11,sh.000858,5851.0350,5896.1670,5751.5640,5784.6310,5822.4020,1244362704,13571615232.0000,3,1.571699,1,-0.648700,0
2019-07-12,sh.000858,5792.1030,5818.6340,5729.0270,5796.4250,5784.6310,1187723904,11150038272.0000,3,1.500161,1,0.203900,0
2019-07-15,sh.000858,5773.8550,5999.4270,5719.0240,5952.8680,5796.4250,1667852896,19153169152.0000,3,2.106237,1,2.699000,0
2019-07-16,sh.000858,5936.8030,6000.8940,5919.1770,5978.6180,5952.8680,1416914208,15028163840.0000,3,1.789341,1,0.432600,0
2019-07-17,sh.000858,5975.4630,6065.4450,5955.7730,6015.5500,5978.6180,1666735008,17962871552.0000,3,2.104781,1,0.617700,0
2019-07-18,sh.000858,5969.6850,5969.6850,5863.2220,5863.8670,6015.5500,1597990800,15404612352.0000,3,2.016946,1,-2.521500,0
2019-07-19,sh.000858,5883.6060,5951.9720,5865.6480,5879.0230,5863.8670,1206180096,12298125312.0000,3,1.522412,1,0.258500,0
2019-07-22,sh.000858,5898.3220,5904.4820,5706.1260,5749.6050,5879.0230,1300613104,14326509568.0000,3,1.641603,1,-2.201400,0
2019-07-23,sh.000858,5754.3980,5865.1220,5752.8670,5863.7520,5749.6050,1069831904,12395408128.0000,3,1.350316,1,1.985300,0
2019-07-24,sh.000858,5885.4180,6038.1150,5885.4180,5998.8520,5863.7520,1687579808,20448974592.0000,3,2.130023,1,2.304000,0
2019-07-25,sh.000858,6022.3280,6144.7530,6011.1820,6108.5160,5998.8520,1982862208,25355650816.0000,3,2.494880,1,1.828100,0
2019-07-26,sh.000858,6097.8870,6120.6850,6055.4920,6097.9480,6108.5160,1551455296,19134802944.0000,3,1.952074,1,-0.173000,0
2019-07-29,sh.000858,6103.6440,6180.3230,6094.8380,6147.8470,6097.9480,1456528896,18707235072.0000,3,1.832636,1,0.818300,0
2019-07-30,sh.000858,6161.8430,6236.3160,6135.6050,6156.2030,6147.8470,1574942208,19887771904.0000,3,1.981626,1,0.135900,0
2019-07-31,sh.000858,6148.0670,6189.0970,6136.7300,6155.2190,6156.2030,1440065904,17958910464.0000,3,1.811922,1,-0.016000,0
2019-08-01,sh.000858,6114.2600,6161.4930,6088.1350,6137.1570,6155.2190,1457309296,18904097280.0000,3,1.833618,1,-0.293400,0
2019-08-02,sh.000858,5967.0920,6059.0560,5944.2040,6043.8600,6137.1570,1664045296,21360059904.0000,3,2.093737,1,-1.520200,0
2019-08-05,sh.000858,6021.0940,6152.0920,5984.1500,5986.3410,6043.8600,1595397696,20782232832.0000,3,2.004862,1,-0.951700,0
2019-08-06,sh.000858,5832.5800,5901.9200,5687.9430,5867.2060,5986.3410,2015491408,23866046720.0000,3,2.532774,1,-1.990100,0
2019-08-07,sh.000858,5904.2910,5914.1960,5759.1490,5759.1490,5867.2060,1361624704,17423386112.0000,3,1.711090,1,-1.841700,0
2019-08-08,sh.000858,5788.9650,5871.3650,5778.0530,5860.7090,5759.1490,1342967008,17776884480.0000,3,1.687644,1,1.763500,0
2019-08-09,sh.000858,5902.2050,5952.2410,5780.5290,5793.0600,5860.7090,1576602896,22208327680.0000,3,1.981243,1,-1.154300,0
2019-08-12,sh.000858,5825.3410,6026.9430,5775.3130,6026.9430,5793.0600,1545272400,21798062336.0000,3,1.940396,1,4.037300,0
2019-08-13,sh.000858,5960.4280,6014.8160,5918.2900,5963.2080,6026.9430,1460228800,20763294464.0000,3,1.833607,1,-1.057500,0
2019-08-14,sh.000858,6080.1130,6143.1050,5987.6060,5999.4810,5963.2080,2051318800,26560740608.0000,3,2.575837,1,0.608300,0
2019-08-15,sh.000858,5824.2180,6119.4780,5813.7680,6117.2130,5999.4810,2189825296,27795125504.0000,3,2.749760,1,1.962400,0
2019-08-16,sh.000858,6096.0220,6233.5720,6089.1250,6158.9020,6117.2130,2264800896,28906763776.0000,3,2.843906,1,0.681500,0
2019-08-19,sh.000858,6242.2540,6473.5850,6235.9560,6455.1770,6158.9020,2760633408,37259319040.0000,3,3.466522,1,4.810500,0
2019-08-20,sh.000858,6457.4200,6513.2270,6420.2990,6436.6080,6455.1770,2284198096,29848037120.0000,3,2.868263,1,-0.287700,0
2019-08-21,sh.000858,6423.5460,6546.5630,6406.6330,6504.6350,6436.6080,2178461296,29726769408.0000,3,2.735398,1,1.056900,0
2019-08-22,sh.000858,6511.7910,6545.3290,6421.4210,6483.9140,6504.6350,2175811504,29282476032.0000,3,2.727480,1,-0.318600,0
2019-08-23,sh.000858,6486.7980,6529.1730,6415.3430,6463.1040,6483.9140,2051989296,27262399232.0000,3,2.572458,1,-0.320900,0
2019-08-26,sh.000858,6331.5630,6443.2910,6326.8120,6423.1710,6463.1040,2033832000,28267576064.0000,3,2.546550,1,-0.617900,0
2019-08-27,sh.000858,6457.9990,6639.6800,6454.0810,6562.8100,6423.1710,2621352400,36522618880.0000,3,3.282181,1,2.174000,0
2019-08-28,sh.000858,6536.1970,6583.1120,6496.7390,6532.2200,6562.8100,2239598496,29995077632.0000,3,2.826685,1,-0.466100,0
2019-08-29,sh.000858,6557.5420,6704.4290,6551.5110,6661.4640,6532.2200,2643833008,36562579200.0000,3,3.335605,1,1.978600,0
2019-08-30,sh.000858,6737.8660,6804.1290,6517.3340,6567.8820,6661.4640,3000571600,46301150208.0000,3,3.784912,1,-1.404800,0
2019-09-02,sh.000858,6586.5720,6877.7030,6576.0410,6853.4580,6567.8820,2648323696,40893272320.0000,3,3.340478,1,4.348100,0
2019-09-03,sh.000858,6890.5260,7078.2660,6880.4400,7078.1210,6853.4580,3523075408,52212222208.0000,3,4.443851,1,3.278100,0
2019-09-04,sh.000858,7051.4590,7164.7630,6985.7720,7120.5530,7078.1210,3348162000,48980304128.0000,3,4.223223,1,0.599500,0
2019-09-05,sh.000858,7154.2370,7436.0220,7134.2800,7253.4770,7120.5530,4130935504,60297614080.0000,3,5.210537,1,1.866800,0
2019-09-06,sh.000858,7280.8030,7363.8650,7166.5680,7285.2530,7253.4770,3157906704,48721964800.0000,3,3.983211,1,0.438100,0
2019-09-09,sh.000858,7372.6140,7611.8360,7305.4660,7611.8360,7285.2530,3885466096,55224128768.0000,3,4.900915,1,4.482800,0
2019-09-10,sh.000858,7604.5860,7612.4500,7373.8440,7435.6140,7611.8360,3558816304,54279045376.0000,3,4.488887,1,-2.315100,0
2019-09-11,sh.000858,7460.8480,7522.2760,7362.7450,7414.5230,7435.6140,2717610800,41746832128.0000,3,3.427839,1,-0.283600,0
2019-09-12,sh.000858,7441.6800,7450.8760,7348.9230,7407.8940,7414.5230,2201168000,33835473920.0000,3,2.776427,1,-0.089400,0
2019-09-16,sh.000858,7445.7090,7617.6010,7407.7500,7544.3110,7407.8940,2923348896,45284140032.0000,3,3.687162,1,1.841500,0
2019-09-17,sh.000858,7499.3960,7499.3960,7275.1510,7351.1130,7544.3110,2902258400,43286793472.0000,3,3.660561,1,-2.560800,0
2019-09-18,sh.000858,7363.7610,7418.2300,7237.9370,7348.5710,7351.1130,2496324896,35049460480.0000,3,3.148565,1,-0.034600,0
